Hour Resolved,Priority,Assignment group,Weightage,Highest Assignment group,Support Level(IE?),Automation Pickup Time (Min),Technician Pickup Time (Min),IE Escalation Time (Hrs),Business Resolution Time (Hrs),Automation Pickup Time Range,Automation Pickup in < 5 Min?,IE Catgory,technician Pickup in < 15 Min?,Week Resolved,Week Escala0d,Resolved < 60 Min?,Knowledge Article Used?,Reopened?,KB Article Used?,05 min or less?,Cluster,Initial Priority,MTTR SLA Met?,MTTA SLA Met?,Reassignment count,Reassign > 5?,Reopen count
16,3,2,30,2,0,3,381,82.62527778,8,1,1,0,0,25,25,0,1,0,0,1,1,1,1,1,3,0,0
19,3,2,30,2,0,3,337,6.033333333,16,1,1,0,0,27,26,0,0,0,0,1,1,1,1,1,3,0,0
19,3,2,30,2,0,4,434,15.46722222,8,1,1,0,0,27,27,0,0,0,0,1,1,1,1,1,3,0,0
20,3,2,30,2,0,3,974,75.43777778,8,1,1,0,0,30,30,0,1,0,0,1,1,1,1,1,3,0,0
15,3,2,30,2,0,4,174,72.10166667,8,1,1,0,0,29,29,0,1,0,0,1,1,1,1,1,3,0,0
15,3,2,30,2,0,5,172,72.13472222,8,1,1,0,0,29,29,0,1,0,0,1,1,1,1,1,3,0,0
20,1,2,30,2,0,4,868,74.44194444,8,1,1,0,0,30,30,0,1,0,0,0,1,1,1,1,3,0,0
20,1,2,30,2,0,4,914,74.43888889,8,1,1,0,0,30,30,0,0,0,0,0,1,1,1,1,3,0,0
17,2,2,30,2,0,5,1324,22.74861111,0,1,1,0,0,31,31,0,0,0,0,1,1,2,1,1,3,0,0
17,2,2,30,2,0,4,1330,22.71722222,0,1,1,0,0,31,31,0,0,0,0,1,1,2,1,1,3,0,0
14,3,2,30,2,0,3,111,16.51027778,7.175555556,1,1,0,0,33,33,0,0,0,0,1,1,1,1,1,4,0,0
16,3,2,30,2,0,4,166,57.53055556,0,1,1,0,0,34,34,0,0,0,0,1,1,1,1,1,5,0,0
16,3,2,30,2,0,5,150,58.48,0,1,1,0,0,34,34,0,0,0,0,1,1,1,1,1,5,0,0
16,4,2,30,2,0,4,175,34.38666667,0,1,1,0,0,34,34,0,0,0,0,1,1,1,1,1,4,0,0
20,2,4,10,5,1,3,13,0.213611111,0,1,1,1,1,23,23,1,0,0,0,1,2,2,1,1,5,0,0
12,2,4,10,5,1,2,557,4.905833333,0.785277778,1,1,1,0,33,33,0,1,1,1,1,2,2,1,1,11,1,2
11,2,5,30,5,0,2,140,0.603333333,0.409166667,1,1,1,0,33,33,0,0,1,0,0,2,2,1,1,12,1,3
13,3,5,30,5,0,12,210,0.135277778,0.629722222,2,0,1,0,33,33,0,0,1,0,0,2,3,1,1,15,1,3
11,3,5,30,5,0,6,89,0.054444444,0.519166667,2,0,1,0,33,33,0,0,1,0,0,2,3,1,1,13,1,3
12,3,5,30,5,0,2,84,0.612222222,0.434166667,1,1,1,0,33,33,0,0,1,0,0,2,3,1,1,13,1,3
11,3,5,30,5,0,209,8,0.140833333,0,3,0,1,1,33,33,0,0,1,0,0,2,3,1,1,8,1,2
11,4,6,10,5,1,945,12,0.705833333,0,3,0,1,1,33,33,0,1,1,1,0,2,4,1,1,3,0,1
14,3,6,10,2,1,4,4,15.92,14.97638889,1,1,0,1,23,22,0,0,0,1,1,2,3,1,1,4,0,0
6,3,1,20,2,1,4,187,0.069166667,23.79555556,1,1,0,0,23,23,0,1,0,1,1,2,3,1,1,3,0,0
12,3,3,40,3,0,5,183,64.53777778,104,1,1,0,0,24,22,0,0,0,1,1,2,3,1,1,4,0,0
12,3,3,40,3,0,3,89,17.94861111,78.87666667,1,1,0,0,24,22,0,0,0,0,1,2,3,1,1,4,0,0
12,3,3,40,3,0,5,47,0.786944444,14.97083333,1,1,0,0,24,24,0,0,0,0,1,2,3,1,1,4,0,0
12,3,3,40,3,0,4,47,0.787777778,14.9675,1,1,0,0,24,24,0,0,0,0,1,2,3,1,1,4,0,0
12,3,3,40,3,0,4,48,0.793611111,14.96472222,1,1,0,0,24,24,0,0,0,0,1,2,3,1,1,4,0,0
12,3,3,40,3,0,4,47,0.786666667,14.96138889,1,1,0,0,24,24,0,0,0,0,1,2,3,1,1,4,0,0
13,3,1,20,2,1,3,2,1.273333333,0,1,1,0,1,24,24,0,0,0,1,1,2,3,1,1,4,0,0
14,3,2,30,2,0,4,157,33.75694444,80,1,1,0,0,25,23,0,0,0,1,1,2,3,1,1,3,0,0
13,3,3,40,3,0,5,38,0.636388889,15.97777778,1,1,0,0,25,24,0,0,0,0,1,2,3,1,1,4,0,0
19,3,6,10,2,1,3,92,1.535833333,0,1,1,0,0,25,24,0,0,0,1,1,2,3,1,1,4,0,0
19,3,6,10,2,1,3,5,0.083611111,0,1,1,0,1,26,25,0,0,0,1,0,2,3,1,1,4,0,0
19,3,6,10,2,1,3,16,0.270555556,0,1,1,0,0,26,25,0,1,0,1,1,2,3,1,1,4,0,0
16,3,6,10,2,1,3,14,212.65,78.97416667,1,1,0,1,26,25,0,1,0,1,1,2,3,1,1,4,0,0
20,2,6,10,2,1,4,276,153.3813889,32,1,1,0,0,26,26,0,0,0,1,0,2,3,1,1,4,0,0
20,3,6,10,2,1,5,276,153.3227778,32,2,0,0,0,26,26,0,1,0,1,1,2,3,1,1,4,0,0
10,2,1,20,2,1,4,277,153.4288889,40,1,1,0,0,26,26,0,0,0,1,1,2,3,1,1,4,0,0
14,2,6,10,2,1,4,62,96.62777778,62.93694444,1,1,0,0,26,25,0,0,0,1,1,2,3,1,1,5,0,0
16,3,2,30,2,0,3,11,0.178888889,0,1,1,0,1,27,27,0,0,0,0,1,2,3,1,1,3,0,0
12,2,2,30,2,0,4,4,4.598888889,16,1,1,0,1,27,26,0,0,0,1,1,2,1,1,1,3,0,0
10,3,2,30,2,0,4,3,3.180277778,2.148333333,1,1,0,1,23,23,0,1,0,1,1,2,1,1,1,3,0,0
10,3,2,30,2,0,5,17,0.3375,1.662222222,1,1,0,0,23,23,0,0,0,1,1,2,1,1,1,3,0,0
15,3,2,30,2,0,4,6,4.4525,114.15,1,1,0,1,26,23,0,1,0,1,0,2,1,1,1,3,0,0
11,3,5,30,5,0,3,31,0.520833333,0,1,1,0,0,23,22,0,0,0,0,0,2,3,1,1,3,0,0
12,2,5,30,5,0,4,25,0.555277778,0,1,1,0,0,25,24,0,0,1,0,0,2,2,1,1,3,0,1
11,2,2,30,2,0,4,527,98.56194444,24,1,1,0,0,24,24,0,0,0,1,1,2,2,1,1,3,0,0
15,2,3,40,3,0,2,21,32.8775,16,1,1,0,0,24,24,0,1,0,1,1,2,2,1,1,4,0,0
11,2,2,30,2,0,3,34,2.396388889,8,1,1,0,0,25,25,0,1,0,1,1,2,2,1,1,3,0,0
11,2,2,30,2,0,3,35,2.392222222,8,1,1,0,0,25,25,0,0,0,1,0,2,2,1,1,3,0,0
14,3,2,30,2,0,4,554,13.96527778,14.87611111,1,1,0,0,25,25,0,1,0,0,1,2,3,1,1,3,0,0
0,2,2,30,2,0,4,5,11.4675,7.558333333,1,1,0,1,25,25,0,1,0,1,0,2,1,1,1,3,0,0
14,3,2,30,2,0,3,110,58.96111111,8,1,1,0,0,26,26,0,1,0,1,1,2,3,1,1,3,0,0
12,1,5,30,5,0,4,27,0.585833333,0,1,1,0,0,25,24,0,1,0,0,0,2,1,1,1,3,0,0
12,1,5,30,5,0,2,26,0.568333333,0,1,1,0,0,25,24,0,1,0,0,0,2,1,1,1,3,0,0
12,3,5,30,5,0,3,26,0.569166667,0,1,1,0,0,25,24,0,1,1,0,0,2,3,1,1,3,0,1
12,1,5,30,5,0,3,26,0.568055556,0,1,1,0,0,25,24,0,1,0,0,0,2,1,1,1,3,0,0
12,1,5,30,5,0,4,25,0.555833333,0,1,1,0,0,25,24,0,1,0,0,0,2,1,1,1,3,0,0
16,2,2,30,2,0,5,4,22.40861111,16,1,1,0,1,23,22,0,1,0,1,1,2,2,1,1,3,0,0
12,3,5,30,5,0,3,31,0.655,0,1,1,0,0,25,24,0,1,1,0,0,2,3,1,1,3,0,1
12,1,5,30,5,0,2,28,0.599166667,0,1,1,0,0,25,24,0,1,0,0,0,2,1,1,1,3,0,0
12,1,5,30,5,0,3,27,0.586944444,0,1,1,0,0,25,24,0,1,0,0,0,2,1,1,1,3,0,0
12,1,5,30,5,0,4,27,0.589166667,0,1,1,0,0,25,24,0,1,0,0,0,2,1,1,1,3,0,0
12,1,5,30,5,0,2,26,0.568611111,0,1,1,0,0,25,24,0,1,0,0,0,2,1,1,1,3,0,0
12,1,5,30,5,0,2,26,0.572222222,0,1,1,0,0,25,24,0,1,0,0,0,2,1,1,1,3,0,0
21,2,2,30,2,0,2,13,1.659444444,0,1,1,0,1,25,25,0,1,0,1,1,2,1,1,1,3,0,0
20,3,5,30,5,0,3,25,23.92666667,8.34,1,1,0,0,23,23,0,0,1,1,1,2,3,1,1,3,0,1
12,3,2,30,8,0,4,39,33.49277778,8,1,1,0,0,25,25,0,0,0,1,1,2,3,1,1,4,0,0
15,2,2,30,2,0,4,1,6.625277778,8,1,1,0,1,27,27,0,1,0,1,1,2,1,1,1,3,0,0
11,3,5,30,5,0,2,11,0.185,0,1,1,0,1,23,22,0,0,0,0,0,2,3,1,1,3,0,0
11,3,5,30,5,0,2,11,0.189166667,0,1,1,0,1,23,22,0,0,0,0,1,2,3,1,1,3,0,0
12,2,5,30,5,0,3,14,0.688888889,0,1,1,0,1,23,23,1,0,0,1,0,2,2,1,1,3,0,0
18,4,5,30,5,0,3,1976,3.531388889,8,1,1,0,0,23,23,0,0,0,0,1,2,4,1,1,3,0,0
12,2,2,30,2,0,4,22,256.6158333,72,1,1,0,0,24,24,0,1,0,1,1,2,2,1,1,3,0,0
19,2,2,30,2,0,4,5,0.445,0,1,1,0,1,27,27,0,0,0,1,0,2,2,1,1,5,0,0
19,3,2,30,2,0,4,3,0.443333333,0,1,1,0,1,27,27,0,1,0,1,1,2,3,1,1,3,0,0
14,3,2,30,2,0,4,330,120.4383333,32,1,1,0,0,24,24,0,1,0,1,1,2,3,1,1,3,0,0
13,4,2,30,2,0,3,2,0.488611111,2.409444444,1,1,0,1,24,24,0,1,0,1,1,2,4,1,1,3,0,0
20,4,2,30,2,0,4,57,520.4772222,144,1,1,0,0,25,24,0,0,0,0,1,2,4,1,1,5,0,0
14,5,3,40,3,0,1,55,1.071111111,16,1,1,0,0,26,25,0,0,1,1,1,2,5,1,1,4,0,1
13,3,2,30,2,0,1,28,0.877222222,0,1,1,0,0,26,25,0,0,1,1,1,2,3,1,1,3,0,1
12,4,2,30,2,0,4,25,0.726666667,0,1,1,0,0,26,25,0,0,1,1,1,2,4,1,1,3,0,1
12,4,2,30,2,0,3,34,0.589722222,0,1,1,0,0,26,25,0,1,0,1,1,2,4,1,1,3,0,0
12,3,2,30,2,0,3,123,542.2266667,192,1,1,0,0,26,24,0,0,0,0,1,2,3,1,1,5,0,0
12,4,2,30,2,0,5,247,4.130833333,120,1,1,0,0,26,23,0,0,0,1,1,2,4,1,1,3,0,0
12,3,2,30,2,0,3,33,120.8566667,88,1,1,0,0,26,24,0,0,1,1,1,2,3,1,1,5,0,1
12,3,2,30,2,0,4,18,91.43888889,88,1,1,0,0,26,24,0,1,0,1,0,2,3,1,1,5,0,0
12,3,2,30,2,0,5,78,1.3025,64,1,1,0,0,26,24,0,0,0,1,0,2,3,1,1,6,1,0
12,4,2,30,2,0,8,89,1.483333333,56,2,0,0,0,26,24,0,0,0,1,0,2,4,1,1,3,0,0
12,3,2,30,2,0,5,101,3.424444444,48,1,1,0,0,26,25,0,0,0,1,0,2,3,1,1,3,0,0
12,3,2,30,2,0,3,26,0.881111111,8,1,1,0,0,26,25,0,0,1,1,0,2,3,1,1,3,0,1
6,2,5,30,5,0,3,9,0.100833333,0.3175,1,1,0,1,27,27,1,0,0,0,0,2,2,1,1,3,0,0
7,2,5,30,5,0,5,106,0.195277778,0.778333333,2,0,0,0,27,27,0,0,0,0,0,2,2,1,1,3,0,0
11,2,2,30,2,0,2,59,36.70472222,40,1,1,0,0,27,26,0,1,0,1,1,2,2,1,1,3,0,0
7,3,5,30,5,0,5,106,0.199722222,0.781944444,2,0,0,0,27,27,0,1,1,0,0,2,3,1,1,3,0,1
7,1,5,30,5,0,4,31,0.534722222,0.761666667,1,1,0,0,27,27,0,1,0,0,0,2,1,1,1,3,0,0
7,1,5,30,5,0,3,3,0.046944444,0.800555556,1,1,0,1,27,27,0,1,0,0,0,2,1,1,1,4,0,0
7,3,5,30,5,0,3,3,0.046944444,0.800277778,1,1,0,1,27,27,0,1,1,0,0,2,3,1,1,6,1,1
7,1,5,30,5,0,4,31,0.5375,0.764722222,1,1,0,0,27,27,0,1,0,0,0,2,1,1,1,3,0,0
6,2,5,30,5,0,4,9,0.170555556,0.628888889,1,1,0,1,27,27,1,0,0,0,0,2,2,1,1,5,0,0
6,2,5,30,5,0,4,9,0.162777778,0.628611111,1,1,0,1,27,27,1,0,0,0,0,2,2,1,1,5,0,0
6,2,5,30,5,0,4,44,0.395555556,0.632777778,1,1,0,0,27,27,1,0,1,0,0,2,2,1,1,3,0,1
6,2,5,30,5,0,4,44,0.396111111,0.6325,1,1,0,0,27,27,1,0,1,0,0,2,2,1,1,3,0,1
7,2,5,30,5,0,4,9,0.163333333,0.623333333,1,1,0,1,27,27,0,0,1,0,0,2,2,1,1,7,1,1
7,2,5,30,5,0,4,6,0.104444444,0.858611111,1,1,0,1,27,27,0,0,1,0,0,2,2,1,1,10,1,1
7,2,5,30,5,0,3,5,0.09,0.844444444,1,1,0,1,27,27,0,0,1,0,0,2,2,1,1,10,1,1
6,2,5,30,5,0,4,44,0.388611111,0.624444444,1,1,0,0,27,27,1,0,1,0,0,2,2,1,1,4,0,1
6,2,5,30,5,0,4,44,0.388333333,0.623611111,1,1,0,0,27,27,1,0,1,0,0,2,2,1,1,4,0,1
6,2,5,30,5,0,5,7,0.135833333,0.593333333,1,1,0,1,27,27,1,0,0,0,0,2,2,1,1,2,0,0
6,3,5,30,5,0,4,5,0.103888889,0.571111111,1,1,0,1,27,27,1,0,0,0,0,2,3,1,1,5,0,0
6,2,5,30,5,0,5,30,0.234444444,0.542777778,1,1,0,0,27,27,1,0,0,0,0,2,2,1,1,3,0,0
6,3,5,30,5,0,4,23,0.137777778,0.441111111,1,1,0,0,27,27,1,0,0,0,0,2,3,1,1,3,0,0
6,2,5,30,5,0,5,5,0.085,0.685,2,0,0,1,27,27,1,0,0,0,0,2,2,1,1,4,0,0
6,2,5,30,5,0,3,27,0.373055556,0.613611111,1,1,0,0,27,27,1,0,0,0,0,2,2,1,1,3,0,0
6,2,5,30,5,0,4,25,0.376944444,0.595,1,1,0,0,27,27,1,0,0,0,0,2,2,1,1,3,0,0
6,3,5,30,5,0,4,25,0.388333333,0.593333333,1,1,0,0,27,27,1,0,0,0,0,2,3,1,1,3,0,0
6,2,5,30,5,0,3,24,0.371666667,0.578888889,1,1,0,0,27,27,1,0,0,0,0,2,2,1,1,3,0,0
6,2,5,30,5,0,3,22,0.319722222,0.5325,1,1,0,0,27,27,1,0,0,0,0,2,2,1,1,3,0,0
6,3,5,30,5,0,4,14,0.188888889,0.404722222,1,1,0,1,27,27,1,0,0,0,0,2,3,1,1,3,0,0
6,2,5,30,5,0,3,8,0.150277778,0.606666667,1,1,0,1,27,27,1,0,0,0,0,2,2,1,1,4,0,0
6,2,5,30,5,0,5,27,0.2025,0.504444444,2,0,0,0,27,27,1,0,0,0,0,2,2,1,1,3,0,0
